title,image,price,review,numberOfreview,sellerType
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",https://m.media-amazon.com/images/I/61pUul1oDlL._AC_UL320_.jpg,,"76,988","76,988",Best Seller
"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",https://m.media-amazon.com/images/I/61CGHv6kmWL._AC_UL320_.jpg,,"95,195","95,195",Best Seller
"SanDisk 128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN",https://m.media-amazon.com/images/I/810o-i5jpiL._AC_UL320_.jpg,17,"253,063","253,063",
"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",https://m.media-amazon.com/images/I/71tK21fYkDL._AC_UL320_.jpg,24,"40,663","40,663",
"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",https://m.media-amazon.com/images/I/61O7HHu181L._AC_UL320_.jpg,,"16,878","16,878",Best Seller
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",https://m.media-amazon.com/images/I/61mpMH5TzkL._AC_UL320_.jpg,,"51,826","51,826",Best Seller
"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black",https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_UL320_.jpg,,"46,558","46,558",
Apple Lightning to USB Cable (1 m),https://m.media-amazon.com/images/I/51hhaBx5PCL._AC_UL320_.jpg,,"79,221","79,221",
Syntech USB C to USB Adapter Pack of 2 USB C Male to USB3 Female Adapter Compatible with MacBook Pro 2021 iMac iPad Mini 6/Pro MacBook Air 2022 and Other Type C or Thunderbolt 4/3 Devices Space Grey,https://m.media-amazon.com/images/I/71xWh67sBNL._AC_UL320_.jpg,16,"128,017","128,017",Best Seller
"Logitech Brio 4K Webcam, Ultra 4K HD Video Calling, Noise-Canceling mic, HD Auto Light Correction, Wide Field of View, Works with Microsoft Teams, Zoom, Google Voice, PC/Mac/Laptop/Macbook/Tablet",https://m.media-amazon.com/images/I/61OQP2+yqML._AC_UL320_.jpg,,"14,079","14,079",
"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",https://m.media-amazon.com/images/I/815cRpgAN3L._AC_UL320_.jpg,16,"345,999","345,999",
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_UL320_.jpg,24,"4,292","4,292",Best Seller
"Amazon Basics High-Speed HDMI Cable (18 Gbps, 4K/60Hz) - 6 Feet, Black",https://m.media-amazon.com/images/I/61pBvlYVPxL._AC_UL320_.jpg,5,"481,892","481,892",Best Seller
"Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, Ultra-Lightweight, HERO 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC / Mac - Black",https://m.media-amazon.com/images/I/61WRvXLabPL._AC_UL320_.jpg,,"7,531","7,531",
"Brother Genuine Cartridge TN760 High Yield Black Toner,1 Pack",https://m.media-amazon.com/images/I/71n5vk4vB-L._AC_UL320_.jpg,,"13,454","13,454",
"Amazon Basics microSDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB",https://m.media-amazon.com/images/I/61DwejyTGkL._AC_UL320_.jpg,13,"22,997","22,997",
Apple USB-C Charge Cable (2m),https://m.media-amazon.com/images/I/41xNtWtAFyL._AC_UL320_.jpg,,"27,991","27,991",
"VIVO Dual Monitor Desk Mount, Heavy Duty Fully Adjustable Stand, Fits 2 LCD LED Screens up to 30 inches, Black, STAND-V002",https://m.media-amazon.com/images/I/615QK44hXwS._AC_UL320_.jpg,39,"47,518","47,518",
"SanDisk 1TB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card- SDSQXAV-1T00-GN6MA",https://m.media-amazon.com/images/I/716kSUlHouL._AC_UL320_.jpg,159,"34,255","34,255",
"Brother Genuine Standard Yield Toner Cartridge, TN730, Replacement Black Toner, Page Yield Up To 1,200 Pages, Amazon Dash Replenishment Cartridge,1 Pack",https://m.media-amazon.com/images/I/7197bPYLO4L._AC_UL320_.jpg,45,"11,111","11,111",Best Seller
"SanDisk 256GB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 150MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAC-256G-GN6MA",https://m.media-amazon.com/images/I/51G0OYpkCYL._AC_UL320_.jpg,32,"296,431","296,431",
Apple Lightning to Digital AV Adapter,https://m.media-amazon.com/images/I/419teukTmWL._AC_UL320_.jpg,,"63,514","63,514",Best Seller
"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",https://m.media-amazon.com/images/I/718b9wK3eaL._AC_UL320_.jpg,,"10,116","10,116",
"Razer Kraken Gaming Headset: Lightweight Aluminum Frame, Retractable Noise Isolating Microphone, For PC, PS4, PS5, Switch, Xbox One, Xbox Series X & S, Mobile, 3.5 mm Audio Jack – Green",https://m.media-amazon.com/images/I/71BKQhFzDmL._AC_UL320_.jpg,39,"48,765","48,765",
title,image,price,review,numberOfreview,sellerType
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",https://m.media-amazon.com/images/I/61pUul1oDlL._AC_UL320_.jpg,,4.5,"(76,988)",Best Seller
"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",https://m.media-amazon.com/images/I/61CGHv6kmWL._AC_UL320_.jpg,,4.3,"(95,195)",Best Seller
"SanDisk 128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN",https://m.media-amazon.com/images/I/810o-i5jpiL._AC_UL320_.jpg,17,4.9,"(253,063)",
"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",https://m.media-amazon.com/images/I/71tK21fYkDL._AC_UL320_.jpg,24,4.7,"(40,663)",
"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",https://m.media-amazon.com/images/I/61O7HHu181L._AC_UL320_.jpg,,4.6,"(16,878)",Best Seller
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",https://m.media-amazon.com/images/I/61mpMH5TzkL._AC_UL320_.jpg,,4.7,"(51,826)",Best Seller
"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black",https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_UL320_.jpg,,4.4,"(46,558)",
Apple Lightning to USB Cable (1 m),https://m.media-amazon.com/images/I/51hhaBx5PCL._AC_UL320_.jpg,,4.7,"(79,221)",
Syntech USB C to USB Adapter Pack of 2 USB C Male to USB3 Female Adapter Compatible with MacBook Pro 2021 iMac iPad Mini 6/Pro MacBook Air 2022 and Other Type C or Thunderbolt 4/3 Devices Space Grey,https://m.media-amazon.com/images/I/71xWh67sBNL._AC_UL320_.jpg,16,4.6,"(128,017)",Best Seller
"Logitech Brio 4K Webcam, Ultra 4K HD Video Calling, Noise-Canceling mic, HD Auto Light Correction, Wide Field of View, Works with Microsoft Teams, Zoom, Google Voice, PC/Mac/Laptop/Macbook/Tablet",https://m.media-amazon.com/images/I/61OQP2+yqML._AC_UL320_.jpg,,4.6,"(14,079)",
"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",https://m.media-amazon.com/images/I/815cRpgAN3L._AC_UL320_.jpg,16,4.8,"(345,999)",
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_UL320_.jpg,24,4.8,"(4,292)",Best Seller
"Amazon Basics High-Speed HDMI Cable (18 Gbps, 4K/60Hz) - 6 Feet, Black",https://m.media-amazon.com/images/I/61pBvlYVPxL._AC_UL320_.jpg,5,4.7,"(481,892)",Best Seller
"Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, Ultra-Lightweight, HERO 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC / Mac - Black",https://m.media-amazon.com/images/I/61WRvXLabPL._AC_UL320_.jpg,,4.8,"(7,531)",
"Brother Genuine Cartridge TN760 High Yield Black Toner,1 Pack",https://m.media-amazon.com/images/I/71n5vk4vB-L._AC_UL320_.jpg,,4.7,"(13,454)",
"Amazon Basics microSDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB",https://m.media-amazon.com/images/I/61DwejyTGkL._AC_UL320_.jpg,13,4.6,"(22,997)",
Apple USB-C Charge Cable (2m),https://m.media-amazon.com/images/I/41xNtWtAFyL._AC_UL320_.jpg,,4.6,"(27,991)",
